SKU,Quantity,Reason,Month
uglysweater55-M,1,AMZ-PG-APP-TOO-SMALL,November
CVSM2258-MooseHead-2X,1,AMZ-PG-BAD-DESC,November
runningshorts001YELLOW-L-XL,1,AMZ-PG-APP-STYLE,November
100584-SheriffBoots-10/11,1,CR-MISSED_ESTIMATED_DELIVERY,November
GDSM2659TV-GratefullDeadBear-L,1,AMZ-PG-APP-TOO-SMALL,November
suicidesquad004-S,1,CR-MISSED_ESTIMATED_DELIVERY,November
424701,1,AMZ-PG-APP-STYLE,November
ultimatewarriorbandSet,1,DID_NOT_LIKE_FABRIC,November
ultimatewarriorwristbands,1,AMZ-PG-WJ-TOO-LARGE,November
heinztankdressketchup-XXL,1,CR-QUALITY_UNACCEPTABLE,November
tmnt045Don-M,1,CR-UNWANTED_ITEM,November
Inflatable001-BlackSanta8feet,1,CR-DEFECTIVE,November
richardsimmons001-S-M,1,CR-MISSED_ESTIMATED_DELIVERY,November
leagueoftheirowncostume-L/XL,1,AMZ-PG-BAD-DESC,November
RMSM3847-RickMortyHolidayPartyUCS-4XL,1,AMZ-PG-APP-TOO-SMALL,November
RWTM09-BabyYodaUCS-3XL,1,AMZ-PG-APP-TOO-SMALL,November
uglysweater60-XL,1,CR-SWITCHEROO,November
NL029-ChristmasVacationPajamaSet-L,1,AMZ-PG-APP-TOO-LARGE,November
BoxingRobe-Black,1,CR-MISSED_ESTIMATED_DELIVERY,November
soahat014,1,CR-UNWANTED_ITEM,November
220650-S/M,1,AMZ-PG-APP-TOO-SMALL,November
biglpants001-L,1,AMZ-PG-APP-TOO-LARGE,November
ricflare001-pink,1,CR-QUALITY_UNACCEPTABLE,November
OESM2387TV-DwightBeetsSweater-XL,1,AMZ-PG-APP-TOO-SMALL,November
bobsburgersbeanie001,1,CR-UNWANTED_ITEM,November
stepbros001-M,1,AMZ-PG-APP-TOO-SMALL,November
CVSM2258-MooseHead-2X,1,AMZ-PG-APP-TOO-LARGE,November
ghost017-XL,1,AMZ-PG-APP-TOO-LARGE,November
102025-InfOrnament-18-Blue,1,CR-ORDERED_WRONG_ITEM,November
CVSM2258-MooseHead-M,1,AMZ-PG-APP-TOO-LARGE,November
HufflepuffRobe-HP0286-L/XL,1,CR-DAMAGED_BY_CARRIER,November
WolverineJacket-L,1,AMZ-PG-APP-TOO-SMALL,November
RWTM09-BabyYodaUCS-M,1,AMZ-PG-APP-TOO-SMALL,November
102025-InfOrnament-18-Green,2,CR-MISSING_PARTS,November
102025-InfOrnament-18-White,2,CR-MISSING_PARTS,November
102026-InfOrnament-25-Red,2,CR-MISSING_PARTS,November
ChristmasOrnaments-ShittersFull-100788,1,CR-MISSED_ESTIMATED_DELIVERY,November
uglysweater52-3XL,1,CR-FOUND_BETTER_PRICE,November
Inflatable001-BlackSanta8feet,1,CR-DEFECTIVE,November
102025-InfOrnament-18-Green,1,CR-MISSING_PARTS,November
102025-InfOrnament-18-Red,2,CR-DEFECTIVE,November
NutsSweaterUCS1-L,1,CR-SWITCHEROO,November
wrestlingboots-LB,1,CR-MISSING_PARTS,November
NSHA2204-NarutoLeafHeadband,1,AMZ-PG-APP-TOO-LARGE,November
WuTangUnionSuit-LN0011-L,1,CR-UNWANTED_ITEM,November
204292-DeerRingSweater-3XL,1,AMZ-PG-APP-TOO-LARGE,November
100705-LegLampInflatable,1,CR-DAMAGED_BY_FC,November
220799-QuailMan-L,1,CR-UNWANTED_ITEM,November
WakandaForeverUCS-L,1,CR-SWITCHEROO,November
waldocostumeDELUXE-L,2,CR-UNWANTED_ITEM,November
pedrosanchez-Kit,1,CR-MISSED_ESTIMATED_DELIVERY,November
ChristmasSocks-FilthyAnimal-100751,1,CR-UNWANTED_ITEM,November
BoxingRobe-Black,1,AMZ-PG-APP-TOO-SMALL,November
biglpants001-XL,1,CR-UNWANTED_ITEM,November
220696-WOMENS-MimeCostumeSet-S,1,CR-UNWANTED_ITEM,November
rockynecklace,1,AMZ-PG-BAD-DESC,November
WB1241-WB1249-HarleyQuinnCostumeSet-S,1,AMZ-PG-APP-TOO-SMALL,November
RWTM09-BabyYodaUCS-2XL,1,AMZ-PG-APP-TOO-SMALL,November
Thing1-6-UnionSuit-ADULT-XL,2,CR-DEFECTIVE,November
204070-Detective&BlueShirt-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,November
CVSM2258-MooseHead-3X,1,AMZ-PG-APP-TOO-LARGE,November
ucs3d001-XXXL,1,AMZ-PG-APP-TOO-LARGE,November
RWTM09-BabyYodaUCS-XL,1,AMZ-PG-APP-TOO-SMALL,November
WB1658-WB1659-WonderWomanCostumeSet1-XL,1,CR-UNWANTED_ITEM,November
Inflatable001-BlackSanta8feet,1,CR-FOUND_BETTER_PRICE,November
toystorywoodyvest-XL-XXL,1,AMZ-PG-APP-TOO-LARGE,November
powerrangers015yellow-XL,1,AMZ-PG-APP-TOO-LARGE,November
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-LARGE,November
leagueoftheirowncostume-L/XL,1,CR-DEFECTIVE,November
custom-NameNum-leagueoftheirown-S-M,1,CR-UNWANTED_ITEM,November
ChristmasOrnaments-HumpingReindeer-10078,1,CR-MISSING_PARTS,November
220823-PinkBunny-KIDS-5/6,1,CR-ORDERED_WRONG_ITEM,November
102026-InfOrnament-25-Gold,3,CR-UNWANTED_ITEM,November
102025-InfOrnament-18-White,5,CR-UNWANTED_ITEM,November
dodgeball003N-M,1,CR-UNWANTED_ITEM,November
LegLampRedPants-WR0314-52-M,1,AMZ-PG-APP-TOO-LARGE,November
20327-CatalinaSweater-XL,1,CR-FOUND_BETTER_PRICE,November
ILoveXmasUCS-L,1,CR-UNWANTED_ITEM,November
Inflatable001-BlackSanta8feet,1,CR-DEFECTIVE,November
sbb015-S,1,AMZ-PG-APP-TOO-SMALL,November
uglysweater60-M,1,CR-DEFECTIVE,November
Santa-AnimatedPlushy,1,CR-DEFECTIVE,November
oktoberfestlederhosenPANTS-42,1,AMZ-PG-APP-TOO-SMALL,November
100576BROWN-L,1,CR-UNWANTED_ITEM,November
tmnt045Don-L,1,CR-MISSED_ESTIMATED_DELIVERY,November
tmnt045Don-L,1,CR-MISSED_ESTIMATED_DELIVERY,November
Inflatable001-BlackSanta8feet,1,CR-UNWANTED_ITEM,November
JLSN243-TuneSquadSHORTS-XXL,1,CR-DEFECTIVE,November
CVSM2258-MooseHead-L,1,CR-UNWANTED_ITEM,November
220631-youth,1,AMZ-PG-APP-TOO-SMALL,November
trumpyuge-L,1,AMZ-PG-APP-TOO-LARGE,November
uglysweater56-XXL,1,CR-FOUND_BETTER_PRICE,November
stepbros011-S,1,DID_NOT_LIKE_FABRIC,November
starwars095-M,2,AMZ-PG-APP-TOO-SMALL,November
