SKU,Quantity,Reason,Month
CustomFaceMask,1,CR-DEFECTIVE,March
hulk003-XXL,1,AMZ-PG-APP-TOO-LARGE,March
bvswwcostume-M,1,CR-MISSING_PARTS,March
curiousgeorgecostumeset-XXL,1,AMZ-PG-APP-TOO-SMALL,March
starwars095-M,1,CR-QUALITY_UNACCEPTABLE,March
MightyDucksJersey-Bombay-S,1,AMZ-PG-APP-TOO-SMALL,March
CustomFaceMaks2,1,CR-DEFECTIVE,March
mash009-XXXL,1,CR-DEFECTIVE,March
tmnt047tankdressRaph-M,1,CR-DEFECTIVE,March
hangover014-XL,1,CR-QUALITY_UNACCEPTABLE,March
ElvisGlasses001-Gold,1,CR-MISSED_ESTIMATED_DELIVERY,March
Custom-990B-Youth-Red-L,1,CR-DEFECTIVE,March
WuTangUnionSuit-LN0011-L,1,AMZ-PG-APP-TOO-SMALL,March
soahat005-S/M,1,AMZ-PG-APP-TOO-SMALL,March
bigl012-S,1,AMZ-PG-APP-TOO-SMALL,March
hulk001N-XXXL,1,AMZ-PG-APP-TOO-SMALL,March
sein023-XL,1,AMZ-PG-APP-TOO-SMALL,March
suicidesquad003-2X,1,AMZ-PG-APP-TOO-SMALL,March
napoleondynamite003,1,CR-UNWANTED_ITEM,March
hulk001N-XL,1,AMZ-PG-APP-TOO-SMALL,March
CY034-ChristmasStoryUnionSuit-3XL,1,CR-DEFECTIVE,March
sharkcostume-teen,1,AMZ-PG-APP-TOO-SMALL,March
customshirtCharcoal-XL,1,CR-QUALITY_UNACCEPTABLE,March
wonderwomanset001-S,1,AMZ-PG-APP-TOO-SMALL,March
KRSM2011-Krampus-M,1,AMZ-PG-APP-TOO-SMALL,March
powerrangersset001pink-S,1,CR-UNWANTED_ITEM,March
powerrangersset001blue-S,1,CR-UNWANTED_ITEM,March
powerrangersset001black-S,1,CR-UNWANTED_ITEM,March
powerrangersset001red-XXL,1,CR-UNWANTED_ITEM,March
powerrangersocks001-Pink,1,CR-UNWANTED_ITEM,March
powerrangersset001yellow-M,1,CR-UNWANTED_ITEM,March
tmnt046jLeo-L,1,CR-DEFECTIVE,March
tmnt045Raph-M,1,CR-DEFECTIVE,March
tmnt045Don-XL,1,CR-DEFECTIVE,March
CustomFaceMaks2,2,AMZ-PG-BAD-DESC,March
bigl012-L,1,DID_NOT_LIKE_FABRIC,March
customshirtBlack-XL,1,CR-QUALITY_UNACCEPTABLE,March
CY034-ChristmasStoryUnionSuit-M,1,CR-DAMAGED_BY_FC,March
tmntmasks-Red,1,CR-DEFECTIVE,March
nwo003-S,1,AMZ-PG-APP-TOO-SMALL,March
leagueoftheirowncostume-XXLdeluxe,1,CR-DEFECTIVE,March
hulk003-XXL,1,AMZ-PG-APP-TOO-LARGE,March
supermanhat002,1,AMZ-PG-BAD-DESC,March
leagueoftheirowncostume-XXLdeluxe,1,CR-QUALITY_UNACCEPTABLE,March
wrestlingboots-LB,1,AMZ-PG-APP-TOO-SMALL,March
juno003-XXL,1,AMZ-PG-BAD-DESC,March
100576BLACK-L,1,CR-UNWANTED_ITEM,March
100576BLACK-M,1,CR-UNWANTED_ITEM,March
jokercards,1,CR-UNAUTHORIZED_PURCHASE,March
stepbros010-XL,1,AMZ-PG-APP-TOO-SMALL,March
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,March
gothamboots-M,1,CR-UNWANTED_ITEM,March
furiespants-M,1,DID_NOT_LIKE_COLOR,March
CustomFaceMask,1,AMZ-PG-BAD-DESC,March
drseuss027thing1-L,1,AMZ-PG-APP-STYLE,March
CustomFaceMaks2,1,CR-ORDERED_WRONG_ITEM,March
100576BLACK-S,1,AMZ-PG-APP-TOO-SMALL,March
customshirtWhite-L,1,CR-MISSED_ESTIMATED_DELIVERY,March
suicidesquad003-3X,1,AMZ-PG-APP-TOO-SMALL,March
biglpants001-XL,1,AMZ-PG-APP-TOO-SMALL,March
hulk001r-XL,1,AMZ-PG-APP-TOO-SMALL,March
204074-QuaggyGiggityShirt-L,1,AMZ-PG-APP-TOO-LARGE,March
220082-VioletChubSuit-ADULT,1,CR-UNWANTED_ITEM,March
100584-SheriffBoots-10/11,3,CR-UNWANTED_ITEM,March
stepbros010-M,1,AMZ-PG-APP-TOO-SMALL,March
CustomFaceMaks2,1,CR-DEFECTIVE,March
usa002-XL,1,DID_NOT_LIKE_FABRIC,March
hulk003redN-XXL,1,AMZ-PG-APP-TOO-LARGE,March
starwars017-M,1,AMZ-PG-APP-TOO-SMALL,March
