SKU,Quantity,Reason,Month
220631-youth,1,CR-QUALITY_UNACCEPTABLE,February
dresshat001HAT2-Purple,1,CR-DAMAGED_BY_CARRIER,February
CustomFaceMaks2,1,CR-UNWANTED_ITEM,February
drseuss015-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,February
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL,February
mm001Nblu-M,1,DID_NOT_LIKE_COLOR,February
100576BROWN-M,1,AMZ-PG-APP-TOO-LARGE,February
CY034-ChristmasStoryUnionSuit-M,1,CR-DEFECTIVE,February
usa002-M,1,AMZ-PG-APP-STYLE,February
CustomFaceMaks2,1,CR-UNWANTED_ITEM,February
rockyrobesetDRAGO,1,CR-UNWANTED_ITEM,February
mm001Nblu-XL,1,CR-MISSED_ESTIMATED_DELIVERY,February
drseuss015-L,1,AMZ-PG-APP-TOO-SMALL,February
drseuss027thing1-S,1,CR-UNWANTED_ITEM,February
drseuss027thing2-S,1,CR-UNWANTED_ITEM,February
Thing1-6-Union Suit-KIDS-3/4,1,CR-DEFECTIVE,February
dresshat001HAT1-Orange,1,AMZ-PG-APP-TOO-SMALL,February
tmnt056Mike-XS,1,AMZ-PG-APP-TOO-LARGE,February
tmnt056Raph-XS,1,AMZ-PG-APP-TOO-LARGE,February
Custom-RS3401-Black-18_24m,2,CR-MISSED_ESTIMATED_DELIVERY,February
Custom-RS3401-Red-18_24m,2,CR-MISSED_ESTIMATED_DELIVERY,February
Custom-RS3401-Red-12_18m,1,CR-MISSED_ESTIMATED_DELIVERY,February
220078-SharkChubSuitYellow-Adult,1,CR-UNWANTED_ITEM,February
greatest002-XXL,1,CR-SWITCHEROO,February
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL,February
powerrangersocks001-Yellow,1,CR-DAMAGED_BY_CARRIER,February
CustomFaceMaks2,1,AMZ-PG-BAD-DESC,February
sharkcostume-XXL,1,AMZ-PG-APP-TOO-SMALL,February
CustomFaceMaks2,1,CR-ORDERED_WRONG_ITEM,February
rockyshorts-M,1,AMZ-PG-BAD-DESC,February
rockyshorts-S,1,AMZ-PG-BAD-DESC,February
2N75-ElmoHoodieEyeball-M,1,CR-UNWANTED_ITEM,February
beautybeast001-S-M,1,CR-MISSED_ESTIMATED_DELIVERY,February
CocaColaLeggings-CCXX1-M,1,DID_NOT_LIKE_FABRIC,February
powerrangersset001yellow-S,1,DID_NOT_LIKE_COLOR,February
CustomFaceMaks2,1,CR-DEFECTIVE,February
Custom-T200-WhiteBlack-L,1,AMZ-PG-APP-STYLE,February
Custom-T200-WhiteBlack-M,1,AMZ-PG-APP-STYLE,February
100576BLACK-S,1,AMZ-PG-APP-STYLE,February
CustomFaceMaks2,1,CR-DEFECTIVE,February
karateheadband,1,CR-QUALITY_UNACCEPTABLE,February
drseuss015-L,1,AMZ-PG-APP-TOO-SMALL,February
dresshat001HAT2-Purple,1,AMZ-PG-APP-TOO-SMALL,February
CustomFaceMask,1,AMZ-PG-BAD-DESC,February
suicidesquad003-XS,1,AMZ-PG-APP-TOO-SMALL,February
CustomFaceMaks2,1,CR-DEFECTIVE,February
CustomFaceMaks2,1,CR-DEFECTIVE,February
tmnt046jLeo-S,1,AMZ-PG-BAD-DESC,February
wwe060green-L,1,CR-MISSED_ESTIMATED_DELIVERY,February
furiespants-S,1,AMZ-PG-APP-TOO-LARGE,February
furiespants-M,1,AMZ-PG-APP-TOO-SMALL,February
hulk001ym,1,CR-MISSED_ESTIMATED_DELIVERY,February
YellowBandanaYellowGlasses,1,CR-MISSED_ESTIMATED_DELIVERY,February
waldocostumeDELUXE-XL,1,CR-UNWANTED_ITEM,February
stepbros001-XL,1,AMZ-PG-APP-TOO-LARGE,February
220696-WOMENS-MimeCostumeSet-L,2,CR-UNWANTED_ITEM,February
CustomFaceMaks2,1,CR-UNWANTED_ITEM,February
CustomFaceMaks2,1,CR-DEFECTIVE,February
chubsuitcostume002-green,1,CR-UNWANTED_ITEM,February
CustomFaceMaks2,1,AMZ-PG-BAD-DESC,February
4U9ML-ERNIE-CostumeShirt-L,1,AMZ-PG-APP-TOO-LARGE,February
4U8ML-BERT-CostumeShirt-S,1,AMZ-PG-APP-TOO-LARGE,February
drseuss015-L,1,AMZ-PG-APP-TOO-SMALL,February
444369-CybermanMaskAd,1,CR-DAMAGED_BY_FC,February
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL,February
drseuss015-L,1,AMZ-PG-APP-TOO-SMALL,February
