SKU,Quantity,Reason,Month,Year
hulk003redN-S,1,AMZ-PG-APP-TOO-SMALL,June,2021
RickMortyPajamaSet-JCITV-M,1,AMZ-PG-APP-TOO-LARGE,June,2021
plumtree001-XL,1,AMZ-PG-BAD-DESC,June,2021
suicidesquad003-S,1,AMZ-PG-APP-TOO-SMALL,June,2021
stepbros010-L,1,AMZ-PG-APP-TOO-SMALL,June,2021
220635-std,1,CR-MISSED_ESTIMATED_DELIVERY,June,2021
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL,June,2021
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL,June,2021
incredhulk006-S,1,AMZ-PG-APP-TOO-LARGE,June,2021
220619-std,1,CR-QUALITY_UNACCEPTABLE,June,2021
sanford064-M,1,AMZ-PG-APP-TOO-SMALL,June,2021
marvel050-L,1,CR-DEFECTIVE,June,2021
amywinehousewig,1,CR-DEFECTIVE,June,2021
Custom-RS4400-RoyalBlue-6_12m,1,CR-DEFECTIVE,June,2021
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,June,2021
drseuss024-XXL,1,CR-SWITCHEROO,June,2021
nwo004red-L,1,AMZ-PG-APP-TOO-SMALL,June,2021
SpaceJamHeadWristBand-ECLT7021TV,1,CR-UNWANTED_ITEM,June,2021
rockyshorts-M,1,AMZ-PG-APP-TOO-LARGE,June,2021
sharkcostume-XXL,1,CR-UNWANTED_ITEM,June,2021
heavyweights001TANK-M,1,CR-QUALITY_UNACCEPTABLE,June,2021
sesame034-6,1,CR-DEFECTIVE,June,2021
Custom-MousePad-Square,1,CR-ORDERED_WRONG_ITEM,June,2021
biglpants001-XXL,1,DID_NOT_LIKE_COLOR,June,2021
WB1658-WB1659-WonderWomanCostumeSet-XXL,1,CR-UNWANTED_ITEM,June,2021
buttheadcostume-XXL,1,AMZ-PG-APP-TOO-LARGE,June,2021
220627-youth,1,AMZ-PG-APP-TOO-SMALL,June,2021
bigl012-S,2,AMZ-PG-APP-TOO-SMALL,June,2021
hulkamaniawrestlingbelt-red,1,DID_NOT_LIKE_FABRIC,June,2021
CustomFaceMaks2,1,CR-DEFECTIVE,June,2021
220660gldxxl,1,CR-MISSED_ESTIMATED_DELIVERY,June,2021
rockyrobe1,1,AMZ-PG-APP-TOO-LARGE,June,2021
bigdudewig001,1,AMZ-PG-BAD-DESC,June,2021
biglpants001-XXL,1,CR-QUALITY_UNACCEPTABLE,June,2021
sharkcostume-teen,1,CR-DEFECTIVE,June,2021
sharkcostume-teen,1,CR-QUALITY_UNACCEPTABLE,June,2021
rockyrobe1,1,AMZ-PG-APP-TOO-SMALL,June,2021
greatest002-XXL,1,AMZ-PG-APP-TOO-LARGE,June,2021
ricflare001-black,1,CR-UNWANTED_ITEM,June,2021
ricflare001-pink,1,CR-UNWANTED_ITEM,June,2021
hulk003redN-XL,1,CR-DEFECTIVE,June,2021
customshirtLightGrey-L,1,CR-DEFECTIVE,June,2021
customshirtCharcoal-M,1,CR-DEFECTIVE,June,2021
SM0045-SimpsonsTshirt-XL,1,AMZ-PG-APP-TOO-SMALL,June,2021
SpaceJamHeadWristBand-ECLT7021TV,1,CR-UNWANTED_ITEM,June,2021
sein023-M,1,CR-DEFECTIVE,June,2021
arrestedbobblehead002,1,CR-DEFECTIVE,June,2021
bigl012-M,1,AMZ-PG-APP-TOO-LARGE,June,2021
hulk003-L,1,CR-MISSED_ESTIMATED_DELIVERY,June,2021
220660gsm,1,AMZ-PG-BAD-DESC,June,2021
wrestlingboots-LBlu,1,CR-DEFECTIVE,June,2021
ANWshirtYouth-S,1,AMZ-PG-APP-STYLE,June,2021
mash003-L,1,AMZ-PG-APP-TOO-SMALL,June,2021
Office008-XL,1,CR-UNWANTED_ITEM,June,2021
hulk003-XL,1,AMZ-PG-APP-TOO-LARGE,June,2021
breakingbadhat001,1,AMZ-PG-APP-TOO-SMALL,June,2021
customshirtCharcoal-L,1,AMZ-PG-APP-TOO-LARGE,June,2021
bigbang006b-XXL,1,AMZ-PG-APP-TOO-LARGE,June,2021
bigl012-3X,1,AMZ-PG-APP-STYLE,June,2021
bigl012-XXL,1,AMZ-PG-APP-STYLE,June,2021
stepbros010-S,1,AMZ-PG-APP-TOO-SMALL,June,2021
RickMortyPajamaSet-JCITV-S,1,AMZ-PG-APP-TOO-SMALL,June,2021
sharkcostume-teen,1,CR-UNWANTED_ITEM,June,2021
100950-CowboyChaps,1,AMZ-PG-APP-TOO-LARGE,June,2021
sharkcostume-teen,1,AMZ-PG-APP-TOO-SMALL,June,2021
WuTangLoungePants-LN0010-52-XL,1,AMZ-PG-APP-TOO-SMALL,June,2021
220660bkxs,1,CR-QUALITY_UNACCEPTABLE,June,2021
