SKU,Quantity,Reason,Month
220080-SharkChubSuitPink-Adult,1,CR-UNWANTED_ITEM,July
apollorobe,1,AMZ-PG-BAD-DESC,July
jerseyshoreglasses,1,CR-MISSED_ESTIMATED_DELIVERY,July
220793-MasterRoshiShirt-L,1,AMZ-PG-APP-TOO-SMALL,July
starwars088-M,1,AMZ-PG-APP-TOO-SMALL,July
100576BROWN-S,1,AMZ-PG-APP-TOO-SMALL,July
ElizaZombieWig-1219,1,AMZ-PG-APP-TOO-SMALL,July
100585-MoonBoots-8/9,1,CR-UNWANTED_ITEM,July
leagueoftheirowncostume-XXLdeluxe,2,AMZ-PG-APP-TOO-SMALL,July
QueenDragonWig-1220,1,CR-DEFECTIVE,July
GhostbustersDress-25KHA-M,1,AMZ-PG-APP-TOO-LARGE,July
machomanbandana-Purple,1,CR-UNWANTED_ITEM,July
TSM20002TV-WoodyBelt-M,1,AMZ-PG-APP-TOO-SMALL,July
oscarsnapwrsitband,1,AMZ-PG-APP-STYLE,July
christmasvaca002-S,1,CR-SWITCHEROO,July
fightclub004-SM,1,CR-MISSED_ESTIMATED_DELIVERY,July
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,July
amywinehousewig,1,AMZ-PG-BAD-DESC,July
204089-ModernLife-M,1,AMZ-PG-APP-TOO-LARGE,July
bigbang064-XL,1,AMZ-PG-APP-TOO-SMALL,July
revengenerds005-XXL,1,AMZ-PG-APP-TOO-LARGE,July
A9031-32-MinnieBodysuitSkirtSet-M,1,AMZ-PG-APP-TOO-SMALL,July
suicidesquad004-L,1,AMZ-PG-APP-TOO-LARGE,July
ledzeppelin002-S,1,CR-DEFECTIVE,July
WB1658-WB1659-WonderWomanCostumeSet-L,1,AMZ-PG-BAD-DESC,July
batman094-L,1,AMZ-PG-APP-TOO-SMALL,July
sharkcostume-teen,1,CR-DEFECTIVE,July
alanbabycarriercostumeDELUXE-L,1,CR-UNWANTED_ITEM,July
tmntonesieBLUE-12M,1,CR-MISSED_ESTIMATED_DELIVERY,July
dodgeball003-M,1,CR-DEFECTIVE,July
204070-Detective&BlueShirt-XL,1,CR-UNWANTED_ITEM,July
customshirtLightGrey-3XL,1,AMZ-PG-APP-STYLE,July
customshirtLightGrey-S,2,AMZ-PG-APP-STYLE,July
customshirtLightGrey-M,1,AMZ-PG-APP-STYLE,July
tmntbackpack,4,AMZ-PG-APP-TOO-SMALL,July
hulkhogancostumesetREDsunREDban-L,1,AMZ-PG-APP-STYLE,July
wrestlingboots-MY,1,AMZ-PG-APP-TOO-LARGE,July
hulkpantsN001-L,1,AMZ-PG-APP-TOO-SMALL,July
