SKU,Quantity,Reason,Month,Year
CustomFaceMaks2,1,CR-DEFECTIVE,March,2022
drseuss027thing2-S,1,AMZ-PG-APP-TOO-SMALL,March,2022
drseuss027thing1-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
220079-SharkChubSuitBlue-Adult,1,AMZ-PG-APP-TOO-LARGE,March,2022
220080-SharkChubSuitPink-Adult,1,AMZ-PG-APP-TOO-LARGE,March,2022
HorsermanUCS-Orange-XL,1,AMZ-PG-APP-TOO-SMALL,March,2022
drseuss027thing2-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
220654-XXLT,1,CR-UNWANTED_ITEM,March,2022
drseuss027thing2-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
nbcjackwallet,1,AMZ-PG-BAD-DESC,March,2022
junk051-L,2,AMZ-PG-APP-TOO-SMALL,March,2022
220844-BoxingRobeKids-Blk,1,CR-MISSED_ESTIMATED_DELIVERY,March,2022
chubsuitcostume002-rylblue,1,CR-DEFECTIVE,March,2022
baysidedress001-XL,1,CR-UNWANTED_ITEM,March,2022
baysidedress001-XL,1,AMZ-PG-APP-TOO-LARGE,March,2022
220074-PenguinChubSuit-Teen,1,CR-MISSED_ESTIMATED_DELIVERY,March,2022
sein023-XXL,1,AMZ-PG-APP-TOO-SMALL,March,2022
biglpants001-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL,March,2022
powerrangersboot-green,3,AMZ-PG-BAD-DESC,March,2022
drseuss011-XL,1,CR-MISSED_ESTIMATED_DELIVERY,March,2022
starwars129-XXL,1,CR-UNWANTED_ITEM,March,2022
drseuss027thing2-XXXL,1,AMZ-PG-APP-TOO-LARGE,March,2022
suicidesquad004-L,1,AMZ-PG-APP-TOO-LARGE,March,2022
caddyshackhat001,1,CR-UNWANTED_ITEM,March,2022
SquidGameSuit-GREEN-067-L,1,CR-UNWANTED_ITEM,March,2022
SquidGameSuit-GREEN-067-2XL,1,CR-UNWANTED_ITEM,March,2022
SquidGameSuit-GREEN-067-XL,1,CR-UNWANTED_ITEM,March,2022
plumtree001-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
CY034-ChristmasStoryUnionSuit-XXL,1,CR-UNWANTED_ITEM,March,2022
leagueoftheirowncostume-XXLdeluxe,1,AMZ-PG-APP-TOO-SMALL,March,2022
soahat005-S/M,1,AMZ-PG-APP-TOO-SMALL,March,2022
220753-RockfordPeachesBOYS-7/8,1,CR-MISSED_ESTIMATED_DELIVERY,March,2022
powerrangers018black-12/18,1,AMZ-PG-APP-TOO-LARGE,March,2022
suicidesquad003-S,1,DID_NOT_LIKE_FABRIC,March,2022
suicidesquad003-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
CUSTOMcapeADULTpink-pink,1,CR-DEFECTIVE,March,2022
powerrangers015blue-M,1,AMZ-PG-APP-TOO-SMALL,March,2022
220079-SharkChubSuitBlue-YOUTH,1,AMZ-PG-APP-TOO-SMALL,March,2022
220079-SharkChubSuitBlue-YOUTH,1,AMZ-PG-APP-TOO-SMALL,March,2022
220079-SharkChubSuitBlue-YOUTH,1,AMZ-PG-APP-TOO-SMALL,March,2022
LN0017-94-WuTangBoxer-L,1,CR-SWITCHEROO,March,2022
caddyshackhat001,1,AMZ-PG-APP-TOO-SMALL,March,2022
bigl012-L,1,CR-DEFECTIVE,March,2022
hotrodcostumeset-L,1,AMZ-PG-APP-TOO-LARGE,March,2022
SoapLoofahCostume,1,CR-UNWANTED_ITEM,March,2022
220623-youth1,1,CR-UNWANTED_ITEM,March,2022
Thing1-6-UnionSuit-ADULT-XL,1,CR-UNWANTED_ITEM,March,2022
TSM20002TV-WoodyBelt-S,1,AMZ-PG-APP-TOO-LARGE,March,2022
bvswwcostume-2X,1,AMZ-PG-BAD-DESC,March,2022
InflatableGiraffe-Teen,1,AMZ-PG-BAD-DESC,March,2022
avatar002-L,1,CR-SWITCHEROO,March,2022
oktoberfestlederhosenPANTS1-38,1,CR-DEFECTIVE,March,2022
drseuss027thing2-S,1,AMZ-PG-APP-TOO-LARGE,March,2022
custom-30x40fleece-gma-gray,1,CR-SWITCHEROO,March,2022
