SKU,Quantity,Reason,Month,Year
103012-MooseMug-1pack,1,CR-MISSED_ESTIMATED_DELIVERY,December,2022
KRSM2011-KrampusSweater-XXL,2,AMZ-PG-APP-TOO-LARGE,December,2022
6665611-yellowstoneTruckerHat,1,CR-UNWANTED_ITEM,December,2022
220834-GriswoldTie,1,CR-UNWANTED_ITEM,December,2022
RMSM3847-RickMortyHolidayPartyUCS-L,1,AMZ-PG-APP-TOO-SMALL,December,2022
ElfLoungePants-WR0322-52-M,1,AMZ-PG-APP-TOO-SMALL,December,2022
ElfLoungePants-WR0322-52-S,1,AMZ-PG-APP-TOO-SMALL,December,2022
mm003JRSyellow-M,1,AMZ-PG-APP-TOO-SMALL,December,2022
mm003JRSblue-M,1,AMZ-PG-APP-TOO-SMALL,December,2022
biglpants001-L,1,AMZ-PG-APP-TOO-LARGE,December,2022
WR0232-52-HogTheNogPants-XL,1,CR-DEFECTIVE,December,2022
sharkcostume-XXL,1,CR-UNWANTED_ITEM,December,2022
267345-GrinchPJPants-2XL,1,AMZ-PG-APP-TOO-SMALL,December,2022
boratthong,1,CR-UNWANTED_ITEM,December,2022
uglysweater44-4XL,1,AMZ-PG-APP-TOO-SMALL,December,2022
CousinEddieWhiteRobe-220703,1,CR-UNWANTED_ITEM,December,2022
TMNTShirt-Youth-Leonardo-M,1,CR-DEFECTIVE,December,2022
suitpajamas001purple-M,1,CR-UNWANTED_ITEM,December,2022
CCXX-CokePolarBearUCS-3XL,1,AMZ-PG-APP-TOO-SMALL,December,2022
GrinchUnionSuit-Adult-S,1,AMZ-PG-APP-TOO-LARGE,December,2022
NSPH3266-NarutoPajamas,1,CR-DEFECTIVE,December,2022
CousinEdRobe-Hat-SET,1,CR-UNWANTED_ITEM,December,2022
ferris010-M,1,AMZ-PG-APP-TOO-LARGE,December,2022
BQBW3939TV-BobsBurgersFleece-3XL,1,AMZ-PG-APP-TOO-SMALL,December,2022
220899-MarvCostume-M,1,CR-SWITCHEROO,December,2022
sbb016-L,1,AMZ-PG-APP-TOO-LARGE,December,2022
waldocostumeDELUXE-M,1,CR-DAMAGED_BY_FC,December,2022
uglysweater44-XXL,1,AMZ-PG-APP-TOO-SMALL,December,2022
PMPO0LSMNK-PokePikaPants-L,1,CR-UNWANTED_ITEM,December,2022
TheSandlotUCS-Red-XL,1,AMZ-PG-APP-TOO-LARGE,December,2022
ILoveXmasUCS-XL,1,AMZ-PG-APP-STYLE,December,2022
acwig,1,DID_NOT_LIKE_FABRIC,December,2022
sbtbslaterjersey-L,1,AMZ-PG-BAD-DESC,December,2022
sbtbslaterjersey-M,1,AMZ-PG-APP-TOO-SMALL,December,2022
CVSM2258-MooseHead-2X,1,CR-MISSED_ESTIMATED_DELIVERY,December,2022
PABR029-PabstSweater-2XL,1,CR-UNWANTED_ITEM,December,2022
simpsonsduffhat,1,AMZ-PG-APP-TOO-SMALL,December,2022
starskyhutch001-XXXL,1,AMZ-PG-APP-TOO-SMALL,December,2022
simpsonsduffhat,1,AMZ-PG-APP-TOO-SMALL,December,2022
RWTM09-BabyYodaUCS-3XL,1,AMZ-PG-APP-TOO-SMALL,December,2022
S8SM2074TV-ScarfaceSweater-XL,1,CR-MISSED_ESTIMATED_DELIVERY,December,2022
CY034-ChristmasStoryUnionSuit-S,1,AMZ-PG-APP-TOO-SMALL,December,2022
bigl012-L,1,AMZ-PG-APP-TOO-LARGE,December,2022
RWTM09-BabyYodaUCS-4XL,1,AMZ-PG-APP-TOO-SMALL,December,2022
ArthurChristmasUCS-L,1,AMZ-PG-APP-TOO-LARGE,December,2022
K4SM2101TV-COBRAKAI-4XL,1,CR-UNWANTED_ITEM,December,2022
RMSA3879TV-RickMortyPants-M,1,AMZ-PG-APP-TOO-LARGE,December,2022
RickMortyPicklePants-RM0242-52-L,1,AMZ-PG-APP-TOO-LARGE,December,2022
CCXX23IMNP-CokeBearSnow-L,1,AMZ-PG-APP-TOO-SMALL,December,2022
FilthyAnimalLoungePants-XF003-L,1,AMZ-PG-APP-TOO-LARGE,December,2022
220901-FreshPrinceCostume-L,1,CR-UNWANTED_ITEM,December,2022
220901-FreshPrinceCostume-S,1,CR-UNWANTED_ITEM,December,2022
ucs3d002-XS,1,CR-UNWANTED_ITEM,December,2022
220888-ToddMargoShinySuit-XXL,2,CR-MISSED_ESTIMATED_DELIVERY,December,2022
starwars168-M,1,AMZ-PG-APP-TOO-SMALL,December,2022
220836-ClarkSanta-L/XL,1,AMZ-PG-BAD-DESC,December,2022
DS197-UglySweater-XXL,1,AMZ-PG-APP-TOO-SMALL,December,2022
NL029-ChristmasVacationPajamaSet-M,1,AMZ-PG-APP-TOO-SMALL,December,2022
FilthyAnimalLoungePants-XF003-XL,1,CR-QUALITY_UNACCEPTABLE,December,2022
starwars168-3X,1,AMZ-PG-APP-TOO-SMALL,December,2022
103012-MooseMug-1pack,1,CR-DEFECTIVE,December,2022
heavyweights001LONGsleeve-XL,1,CR-UNWANTED_ITEM,December,2022
GDSA2851TV-GratDeadPants-2XL,1,AMZ-PG-BAD-DESC,December,2022
220794-CousinEddieSuit-M,1,CR-UNWANTED_ITEM,December,2022
3DTRexUCS-L,1,AMZ-PG-APP-TOO-LARGE,December,2022
starwars168-L,1,AMZ-PG-APP-TOO-SMALL,December,2022
1DadSlide-Black-9,1,AMZ-PG-APP-TOO-SMALL,December,2022
ChristmasSocks-Trump3DHair,1,AMZ-PG-APP-TOO-SMALL,December,2022
ferris008green-M,1,AMZ-PG-APP-TOO-SMALL,December,2022
100581-CousinEddieShoe-9,1,CR-UNWANTED_ITEM,December,2022
drseuss011-XXL,1,AMZ-PG-APP-STYLE,December,2022
CVSM2258-MooseHead-2X,1,AMZ-PG-APP-TOO-SMALL,December,2022
CousinEdRobe-Hat-SET,1,CR-UNWANTED_ITEM,December,2022
RWTM23KMNP-BabyYodaSoupPants-S,1,CR-SWITCHEROO,December,2022
CY034-ChristmasStoryUnionSuit-L,1,CR-UNWANTED_ITEM,December,2022
B3SA2051TV-BobRossPants-M,1,CR-QUALITY_UNACCEPTABLE,December,2022
102027-InfOrnament-15-Silver,1,CR-MISSED_ESTIMATED_DELIVERY,December,2022
CY034-ChristmasStoryUnionSuit-L,1,CR-MISSED_ESTIMATED_DELIVERY,December,2022
SNL007tan-XXL,1,AMZ-PG-APP-TOO-SMALL,December,2022
powerrangerssweatshirtBlue-XXXL,1,DID_NOT_LIKE_COLOR,December,2022
ElfLoungePants-WR0322-52-XL,2,AMZ-PG-APP-TOO-SMALL,December,2022
RWTM23NMN2-XmasYodaPJSet-M,1,AMZ-PG-APP-TOO-LARGE,December,2022
MGB068MARA-GhostbusterCardigan-3XL,1,AMZ-PG-APP-TOO-LARGE,December,2022
3DHumpingReindeerUCS-L,1,AMZ-PG-APP-TOO-LARGE,December,2022
