SKU,Quantity,Reason,Month
RiverdaleTankSkirtSet-WR0345-69-L,1,CR-UNWANTED_ITEM,February
220844-BoxingRobeKids-Blk,1,CR-MISSED_ESTIMATED_DELIVERY,February
220844-BoxingRobeKids-Blk,1,CR-MISSED_ESTIMATED_DELIVERY,February
sein023-M,1,AMZ-PG-APP-TOO-LARGE,February
heavyweights001TANK-XXL,1,CR-UNWANTED_ITEM,February
flinttropicssocks,2,CR-UNWANTED_ITEM,February
bigl032-L,1,CR-SWITCHEROO,February
NasaBoots-PLZZ7270TV-10-11,1,AMZ-PG-APP-TOO-LARGE,February
hulkpants001-M,1,AMZ-PG-APP-TOO-LARGE,February
bigbang064-XL,1,AMZ-PG-APP-TOO-SMALL,February
chubsuitcostume002-rylblue,1,CR-DEFECTIVE,February
220814-PowerRangerPJ-BLK-L,1,CR-DEFECTIVE,February
220814-PowerRangerPJ-YLW-S,1,CR-DEFECTIVE,February
drseuss027thing2-XL,1,CR-UNWANTED_ITEM,February
220844-BoxingRobeKids-Blk,1,CR-DEFECTIVE,February
super044stripes-M,1,DID_NOT_LIKE_COLOR,February
sbb015-2XL,1,AMZ-PG-APP-TOO-SMALL,February
captamerica012-L,1,CR-QUALITY_UNACCEPTABLE,February
220844-BoxingRobeKids-Blk,2,CR-UNWANTED_ITEM,February
legendstempleblue-XL,1,AMZ-PG-APP-TOO-LARGE,February
XO011MBSTV-TopGunPajamaSuit-L,1,DID_NOT_LIKE_FABRIC,February
204084-DwightSuit-M,1,CR-MISSED_ESTIMATED_DELIVERY,February
drseuss027thing1-L,1,CR-DAMAGED_BY_CARRIER,February
220844-BoxingRobeKids-Blk,1,CR-UNWANTED_ITEM,February
SecretStuffWaterBottle,1,AMZ-PG-APP-STYLE,February
drseuss027thing1-S,1,CR-DEFECTIVE,February
biglpants001-L,1,AMZ-PG-APP-TOO-SMALL,February
bigl032-XL,1,AMZ-PG-APP-TOO-LARGE,February
revengenerds005-L,1,AMZ-PG-APP-TOO-SMALL,February
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL,February
drseuss015-XXL,1,AMZ-PG-APP-TOO-SMALL,February
220844-BoxingRobeKids-Blk,1,CR-MISSED_ESTIMATED_DELIVERY,February
suicidesquad010-M,1,CR-DEFECTIVE,February
220944-BarfCostumeSet-2X-3X,1,CR-MISSED_ESTIMATED_DELIVERY,February
220713-ChefCostumeKids-14/16,1,CR-UNWANTED_ITEM,February
Custom-990B-Youth-RoyalBlue-L,1,AMZ-PG-APP-TOO-SMALL,February
PolkHighJersey-L,1,CR-DEFECTIVE,February
ricflare001-pink,1,AMZ-PG-APP-TOO-SMALL,February
ted001-XXXL,1,AMZ-PG-APP-TOO-LARGE,February
hulk003-L,1,CR-UNWANTED_ITEM,February
drseuss027thing2-XXXL,1,AMZ-PG-APP-TOO-LARGE,February
drseuss027thing1-M,1,AMZ-PG-APP-TOO-LARGE,February
drseuss015-S,1,AMZ-PG-APP-TOO-LARGE,February
fearloathingglasses,1,CR-UNWANTED_ITEM,February
220785-DumbDumber-ORNG-XL,1,CR-MISSED_ESTIMATED_DELIVERY,February
drseuss015-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,February
mm001Nred-XS,1,AMZ-PG-APP-TOO-SMALL,February
UP-SashPinsFlag-Hat-KIDS,1,CR-MISSED_ESTIMATED_DELIVERY,February
sein034-M,1,AMZ-PG-APP-TOO-LARGE,February
220844-BoxingRobeKids-Blk,1,CR-UNWANTED_ITEM,February
UP-SashPinsFlag-Hat-KIDS,1,CR-UNWANTED_ITEM,February
PeepholeFrame,1,CR-UNWANTED_ITEM,February
ApolloShorts-XL,1,AMZ-PG-APP-TOO-SMALL,February
snlbearsVESTsweater-XL,1,AMZ-PG-APP-TOO-SMALL,February
acwig,1,CR-DEFECTIVE,February
220844-BoxingRobeKids-Blk,1,CR-UNWANTED_ITEM,February
100566-RonBurgundyRobe,1,CR-UNWANTED_ITEM,February
metallica003-M,1,AMZ-PG-APP-TOO-SMALL,February
chubsuitcostume001Teen-White,1,CR-UNWANTED_ITEM,February
snlbearsVESTsweater-S,1,DID_NOT_LIKE_FABRIC,February
bigl032-L,1,DID_NOT_LIKE_FABRIC,February
4U9ML-ERNIE-CostumeShirt-XL,1,AMZ-PG-APP-TOO-LARGE,February
4U9ML-ERNIE-CostumeShirt-L,1,AMZ-PG-APP-TOO-LARGE,February
4U8ML-BERT-CostumeShirt-L,1,AMZ-PG-APP-TOO-LARGE,February
bigl032-XXL,1,AMZ-PG-APP-TOO-LARGE,February
biglpants001-XL,1,CR-UNWANTED_ITEM,February
superherocape-White,1,CR-UNWANTED_ITEM,February
drseuss027thing1-M,1,CR-SWITCHEROO,February
220785-DumbDumber-ORNG-S,1,CR-DEFECTIVE,February
drseuss015-L,1,AMZ-PG-APP-TOO-SMALL,February
sbb015-L,1,AMZ-PG-APP-TOO-LARGE,February
btlc004-XL,1,AMZ-PG-APP-TOO-LARGE,February
mash002-S,2,AMZ-PG-APP-TOO-SMALL,February
stepbros010-XL,1,AMZ-PG-APP-TOO-LARGE,February
stripeddashmens-XS,1,AMZ-PG-APP-TOO-SMALL,February
nerdstankdressBLUE-XS,1,AMZ-PG-APP-TOO-SMALL,February
220844-BoxingRobeKids-Blk,1,CR-UNWANTED_ITEM,February
220799-QuailMan-M,1,CR-DEFECTIVE,February
hulkglassesN-red,1,AMZ-PG-APP-STYLE,February
dodgeball003-XS,1,CR-UNWANTED_ITEM,February
TMNTShirt-Youth-Mike-XS,1,AMZ-PG-APP-TOO-SMALL,February
RetroWigHeadband-1191,1,CR-UNWANTED_ITEM,February
B3SA2051TV-BobRossPants-3XL,1,AMZ-PG-APP-TOO-SMALL,February
revengenerds005-L,1,AMZ-PG-APP-TOO-SMALL,February
1189-PrincessTrollWig,1,DID_NOT_LIKE_FABRIC,February
starwars022-XXXL,1,AMZ-PG-APP-TOO-SMALL,February
drseuss015-XXL,1,AMZ-PG-APP-TOO-SMALL,February
waldocostumeDELUXE-BOYS-XS,1,CR-SWITCHEROO,February
sanford064-L,1,AMZ-PG-APP-TOO-SMALL,February
metallica003-XL,1,AMZ-PG-APP-STYLE,February
metallica003-XL,1,AMZ-PG-APP-STYLE,February
PowerRangers-Pink-SLShirt-L,1,CR-MISSED_ESTIMATED_DELIVERY,February
ElvisGlasses001-Silver,1,AMZ-PG-APP-STYLE,February
220660gldsm,1,AMZ-PG-APP-TOO-LARGE,February
batmanswim006-24M,1,AMZ-PG-APP-TOO-SMALL,February
Peanuts001-S,1,CR-DEFECTIVE,February
220079-SharkChubSuitBlue-Adult,1,CR-UNWANTED_ITEM,February
CelticRing-6,1,AMZ-PG-APP-TOO-SMALL,February
legendstempleorg-M,1,AMZ-PG-APP-STYLE,February
drseuss022-S,1,DID_NOT_LIKE_COLOR,February
ateam001-L,1,AMZ-PG-APP-TOO-SMALL,February
ateam001-M,1,AMZ-PG-APP-TOO-SMALL,February
ateam001-XXL,1,AMZ-PG-APP-TOO-LARGE,February
biglpants001-XL,1,AMZ-PG-APP-TOO-LARGE,February
220844-BoxingRobeKids-Blk,1,CR-UNWANTED_ITEM,February
drseuss015-XL,1,AMZ-PG-APP-TOO-SMALL,February
mm001Nyel-M,1,AMZ-PG-APP-TOO-SMALL,February
nwo003-L,1,AMZ-PG-APP-TOO-SMALL,February
flashpajama001-XL,1,CR-UNWANTED_ITEM,February
drseuss015-XXL,1,CR-UNWANTED_ITEM,February
hollywoodbandana,1,CR-UNWANTED_ITEM,February
GBZeddemoreLSTee-3XL,1,CR-DEFECTIVE,February
sanford064-L,1,AMZ-PG-APP-TOO-LARGE,February
chubsuitcostume001-White,2,CR-DEFECTIVE,February
220846-BoxingRobeKids-Flag,1,AMZ-PG-BAD-DESC,February
