SKU,Quantity,Reason,Month
103015-BabyCarlosDollGlasses,1,CR-UNWANTED_ITEM,April
hangoverglasses,1,AMZ-PG-APP-STYLE,April
PowerRangers-Black-SLShirt-XS,1,AMZ-PG-APP-TOO-SMALL,April
adventure001-L,1,CR-UNWANTED_ITEM,April
starwars129-XL,1,CR-UNWANTED_ITEM,April
sbtbslaterjersey-M,1,AMZ-PG-APP-TOO-SMALL,April
acwig,1,CR-UNWANTED_ITEM,April
sbtbslaterjersey-L,1,CR-UNWANTED_ITEM,April
arrested011-L,1,AMZ-PG-APP-TOO-SMALL,April
wutang001-S,1,AMZ-PG-APP-TOO-SMALL,April
sbtbslaterjersey-XL,1,AMZ-PG-APP-TOO-LARGE,April
wwe060red-XL,1,AMZ-PG-APP-TOO-SMALL,April
blowupguitar,1,CR-UNWANTED_ITEM,April
bigl012-XL,1,AMZ-PG-APP-TOO-LARGE,April
ateam001-M,1,AMZ-PG-APP-TOO-SMALL,April
suicidesquad003-XL,1,AMZ-PG-APP-TOO-SMALL,April
220901-FreshPrinceCostume-M,1,CR-UNWANTED_ITEM,April
K4SA2128TV-CobraKaiPants-XL,1,AMZ-PG-APP-TOO-LARGE,April
220929-LucyDressKids-2-3,1,CR-DEFECTIVE,April
starwars088-S,1,AMZ-PG-APP-TOO-SMALL,April
starwars164-L,1,CR-DEFECTIVE,April
100980-TheQueenMusicBeltArmband,1,CR-UNWANTED_ITEM,April
220793-MartyShirt-M,1,AMZ-PG-APP-STYLE,April
hotrodcostumeset-2X,1,CR-ORDERED_WRONG_ITEM,April
ElvisGlasses001-Silver,1,CR-DEFECTIVE,April
starwars164-M,1,CR-UNWANTED_ITEM,April
CowgirlShirt-204051-XL,1,CR-UNWANTED_ITEM,April
100950-CowboyChaps1,1,CR-MISSED_ESTIMATED_DELIVERY,April
starwars129-M,1,CR-UNWANTED_ITEM,April
RetroWigHeadband-1191,1,CR-MISSED_ESTIMATED_DELIVERY,April
snlbearsVESTsweater-L,1,CR-SWITCHEROO,April
QF009BBSTV-BlueyPajamas-3T,1,CR-DEFECTIVE,April
220905-KyleCostume-M,1,CR-ORDERED_WRONG_ITEM,April
rubiks002-L,1,DID_NOT_LIKE_FABRIC,April
peanuts044-XL,1,AMZ-PG-APP-TOO-SMALL,April
GBXX22KBNP-Ghostbusters-LT,1,AMZ-PG-BAD-DESC,April
TMNTShirt-Youth-Raphael-L,1,DID_NOT_LIKE_FABRIC,April
QF009BBSTV-BlueyPajamas-3T,1,CR-QUALITY_UNACCEPTABLE,April
hulk001jrREDN-XL,1,AMZ-PG-APP-STYLE,April
powerrangers015black-S,1,CR-SWITCHEROO,April
220844-BoxingRobeKids-Blk,1,CR-MISSED_ESTIMATED_DELIVERY,April
PowerRangers-Blue-SLShirt-M,1,AMZ-PG-BAD-DESC,April
220786-LT-DumbDumber-BLUE-L,1,CR-UNWANTED_ITEM,April
biglpants001-M,1,AMZ-PG-APP-TOO-SMALL,April
biglpants001-M,1,AMZ-PG-APP-TOO-SMALL,April
InflatableGiraffe-Adult,1,AMZ-PG-BAD-DESC,April
sein023-XL,1,AMZ-PG-BAD-DESC,April
starwars129-XL,1,CR-UNWANTED_ITEM,April
GBXX22KBNP-Ghostbusters-M,1,AMZ-PG-APP-TOO-LARGE,April
220916-FlintTropics33Set-S/M,1,CR-UNWANTED_ITEM,April
incredhulk013-XXXL,1,AMZ-PG-APP-TOO-LARGE,April
incredhulk013-4XL,1,AMZ-PG-APP-TOO-LARGE,April
powerrangerssweatshirtPink-XXL,1,CR-UNWANTED_ITEM,April
powerrangers018red-6/12,1,DID_NOT_LIKE_FABRIC,April
blowupguitar,1,CR-UNWANTED_ITEM,April
100578BLACK-M,1,AMZ-PG-APP-TOO-LARGE,April
roddypiper001-XL,1,AMZ-PG-APP-TOO-LARGE,April
acwig,1,AMZ-PG-BAD-DESC,April
acwig,3,AMZ-PG-BAD-DESC,April
biglpants001-L,1,AMZ-PG-APP-TOO-LARGE,April
KG0004-FruitLoopsLoungePants-S,1,AMZ-PG-APP-TOO-SMALL,April
CCXX23IMNP-CokeBearSnow-S,1,CR-UNWANTED_ITEM,April
ElvisGlasses001-Silver,1,CR-DAMAGED_BY_FC,April
Peanuts001-XL,1,AMZ-PG-APP-TOO-SMALL,April
KG0004-FruitLoopsLoungePants-S,1,AMZ-PG-APP-TOO-SMALL,April
tmntonesieRED-24M,1,AMZ-PG-BAD-DESC,April
CY034-ChristmasStoryUnionSuit-3XL,1,AMZ-PG-APP-TOO-SMALL,April
albundy001-L,1,AMZ-PG-APP-TOO-SMALL,April
