SKU,Quantity,Reason,Month
220851-CruJones-L,1,CR-UNWANTED_ITEM,June
TMNTShirt-Youth-Raphael-S,1,CR-QUALITY_UNACCEPTABLE,June
caddyshackhat002,1,AMZ-PG-APP-STYLE,June
aerosmith002-M,1,AMZ-PG-APP-STYLE,June
watchmen006-M,1,CR-UNWANTED_ITEM,June
tmnteyemaskset,4,CR-MISSED_ESTIMATED_DELIVERY,June
tmnt045Don-XL,1,CR-UNWANTED_ITEM,June
mermaidfin001PURPLE-L/XL,1,CR-DEFECTIVE,June
dodgeball003N-M,1,CR-UNWANTED_ITEM,June
gumby005-S,1,AMZ-PG-APP-TOO-LARGE,June
suicidesquad004-M,1,AMZ-PG-APP-TOO-SMALL,June
nwo001-M,1,AMZ-PG-BAD-DESC,June
tootsiecolortankPink-S,1,CR-UNWANTED_ITEM,June
superherocape002CHILDblu-blu,1,CR-UNWANTED_ITEM,June
mm003JRSblue-S,1,CR-UNWANTED_ITEM,June
sbb015n-L,1,AMZ-PG-APP-TOO-LARGE,June
wrestlingboots-MB,1,CR-SWITCHEROO,June
3001-White-ChampionShirt-XXL,1,CR-UNWANTED_ITEM,June
machomanbandana-Pink,1,DID_NOT_LIKE_FABRIC,June
blowupguitar,2,CR-UNWANTED_ITEM,June
220901-FreshPrinceCostume-L,1,CR-UNWANTED_ITEM,June
mm003JRSgreen-XXL,1,AMZ-PG-APP-TOO-SMALL,June
mm001Nred-M,1,AMZ-PG-APP-TOO-SMALL,June
mm001Nblu-L,1,CR-UNWANTED_ITEM,June
220901-FreshPrinceCostume-L,1,CR-MISSED_ESTIMATED_DELIVERY,June
tmnt016-Don-Mens-M,1,CR-UNWANTED_ITEM,June
220066-SpacemenChubSuit-Adult,1,AMZ-PG-APP-TOO-SMALL,June
220901-FreshPrinceCostume-XL,1,AMZ-PG-BAD-DESC,June
roddypiper001-M,1,AMZ-PG-APP-TOO-LARGE,June
doubledare001blue-L,1,AMZ-PG-APP-STYLE,June
doubledare001blue-XL,1,AMZ-PG-APP-STYLE,June
captamerica038-XL,1,AMZ-PG-APP-TOO-SMALL,June
eastbound018-XXL,1,CR-SWITCHEROO,June
spidermantankdressBLUE-M,1,CR-DEFECTIVE,June
GBXX22KBNP-Ghostbusters-XL,1,DID_NOT_LIKE_FABRIC,June
hulk003-S,1,AMZ-PG-APP-STYLE,June
hulk003redN-S,1,AMZ-PG-APP-STYLE,June
mm003JRSorange-M,1,AMZ-PG-APP-TOO-SMALL,June
mm003JRSyellow-M,1,AMZ-PG-APP-TOO-SMALL,June
mm003JRSgreen-L,1,AMZ-PG-APP-TOO-SMALL,June
sundropbag,1,AMZ-PG-APP-TOO-LARGE,June
220859-CrewMate-Red-STD,1,CR-DEFECTIVE,June
beaviscostume-XXL,1,CR-MISSED_ESTIMATED_DELIVERY,June
btlc004-L,1,AMZ-PG-APP-TOO-SMALL,June
bigbang042-S,1,AMZ-PG-APP-TOO-SMALL,June
revengenerds005-L,2,AMZ-PG-APP-TOO-SMALL,June
dodgeball003-S,1,CR-UNAUTHORIZED_PURCHASE,June
dodgeball003-L,1,DID_NOT_LIKE_FABRIC,June
Dodgeball003-M,1,DID_NOT_LIKE_FABRIC,June
alsunny022-L,1,AMZ-PG-APP-TOO-LARGE,June
bigldudecostume001-3XL,1,AMZ-PG-APP-TOO-LARGE,June
tmnteyemaskset,1,CR-UNWANTED_ITEM,June
bigbang064-L,1,AMZ-PG-APP-TOO-SMALL,June
legendstempleblue-S,1,CR-UNWANTED_ITEM,June
